Software,Domain,Executables,Category,References
NinjaRMM,ninjaone.com,ninjarmmagent.exe,RMM,
NoMachine,nomachine.com,"nomachine*.exe,nxd.exe",RMM,
NoteOn-desktop sharing,,"nateon*.exe,nateon.exe,nateonmain.exe",RMM,
OCS inventory,ocsinventory-ng.org,"ocsinventory.exe,ocsservice.exe",RMM,
Panorama9,panorama9.com,,RMM,
Parallels Access,parallels.com/products/ras/try,"prl_deskctl_agent.exe,prl_deskctl_wizard.exe,prl_pm_service.exe",RMM,
pcAnywhere,,"awhost32.exe,pcaquickconnect.exe,winaw32.exe",RMM,
Pcnow,au.pcmag.com/utilities/21470/webex-pcnow,"mwcliun.exe,pcnmgr.exe,webexpcnow.exe",RMM,
Pcvisit,pcvisit.de,"pcvisit.exe,pcvisit_client.exe,pcvisit-easysupport.exe",RMM,
Pocket Controller,soti.net/products/soti-pocket-controller,"pocketcontroller.exe,pocketcloudservice.exe,wysebrowser.exe",RMM,
PulseWay,pulseway.com,,RMM,
QQ IM-remote assistance,qq-messenger.en.softonic.com,"qq.exe,qqpcmgr.exe",RMM,
Quest KACE Agent (formerly Dell KACE),www.quest.com/kace/,konea.exe,RMM,
Quick Assist,,quickassist.exe,RMM,
Radmin,radmin.com,radmin.exe,RMM,
rdp2tcp,github.com/V-E-O/rdp2tcp,"tdp2tcp.exe,rdp2tcp.py",RMM,
RDPView,systemmanager.ru/dntu.en/rdp_view.htm,,RMM,
rdpwrap,github.com/stascorp/rdpwrap,,RMM,
Remobo,remobo.en.softonic.com,"remobo.exe,remobo_client.exe,remobo_tracker.exe",RMM,
Remote Desktop Plus,donkz.nl,,RMM,
Remote.it,remote.it,,RMM,
Remote Manipulator System,rmansys.ru,"rfusclient.exe,rutserv.exe",RMM,
Remote Utilities,,"rutserv.exe,rutview.exe",RMM,
RemoteCall,remotecall.com,"rcengmgru.exe,rcmgrsvc.exe,remotesupportplayeru.exe,rxstartsupport.exe",RMM,
RemotePass,remotepass.com,"remotepass-access.exe,rpaccess.exe,rpwhostscr.exe",RMM,
RemotePC,remotepc.com,"remotepcservice.exe,rpcsuite.exe",RMM,
RemoteView,content.rview.com,"remoteview.exe,rv.exe,rvagent.exe,rvagtray.exe",RMM,
RES Automation Manager,ivanti.com/,"wisshell*.exe,wmc.exe,wmc_deployer.exe,wmcsvc.exe",RMM,
Royal Server,royalapps.com,,RMM,
Royal TS,royalapps.com,royalts.exe,RMM,
rport,rport.io,,RMM,
RuDesktop,rudesktop.ru,"rd.exe,rudesktop*.exe",RMM,
RunSmart,runsmart.io,,RMM,
RustDesk,rustdesk.com,rustdesk.exe,RMM,
ScreenConnect (aka COnnectWise/Continuum),control.connectwise.com,"screenconnect*.exe,screenconnect.windowsclient.exe",RMM,https://thedfirreport.com/2023/09/25/from-screenconnect-to-hive-ransomware-in-61-hours/
Seetrol,seetrol.co.kr,"seetrolcenter.exe,seetrolclient.exe,seetrolmyservice.exe,seetrolremote.exe,seetrolsetting.exe",RMM,
Senso.cloud,senso.cloud,,RMM,
SkyFex,skyfex.com,,RMM,
ShowMyPC,showmypc.com,"showmypc*.exe,showmypc.exe",RMM,
SimpleHelp,simple-help.com,"simplehelpcustomer.exe,simpleservice.exe,windowslauncher.exe,remote access.exe,simplegatewayservice.exe",RMM,
Site24x7,site24x7.com/msp,,RMM,
Sophos-Remote Management System,community.sophos.com/on-premise-endpoint/f/sophos-endpoint-software/5725/sophos-remote-management-system,"clientmrinit.exe,mgntsvc.exe,routernt.exe",RMM,
Splashtop Remote,splashtop.com,"sragent.exe,srmanager.exe,srserver.exe,srservice.exe",RMM,
SpyAnywhere,spyanywhere.com,,RMM,
SuperOps,superops.ai,,RMM,
Supremo,supremocontrol.com,"supremo.exe,supremohelper.exe,supremoservice.exe,supremosystem.exe",RMM,
Syncro,syncromsp.com,,RMM,
Tailscale,tailscale.com,,Remote Access,
Tactical RMM,docs.tacticalrmm.com,tacticalrmm.exe,RMM,
Tanium Deploy,tanium.com/products/tanium-deploy,,RMM,
TeamViewer,teamviewer.com,"teamviewer*.exe,teamviewer_service.exe,teamviewerqs.exe,tv_w32.exe,tv_w64.exe",RMM,
TeleDesktop,tele-desk.com,"pstlaunch.exe,ptdskclient.exe,ptdskhost.exe",RMM,
ToDesk,todesktop.com,todesk.exe,RMM,
TurboMeeting,acceo.com/turbomeeting/,"pcstarter.exe,turbomeeting.exe,turbomeetingstarter.exe",RMM,
Ultraviewer,ultraviewer.net,"ultraviewer.exe,ultraviewer_desktop.exe,ultraviewer_service.exe",RMM,
VNC,realvnc.com/en/connect/download/vnc,"vncserver.exe,vncserverui.exe,vncviewer.exe,winvnc*.exe",Remote Access,
WebRDP,github.com/Mikej81/WebRDP,webrdp.exe,RMM,
Weezo,weezo.en.softonic.com,"weezo.exe,weezohttpd.exe",RMM,
XEOX,xeox.com,xeox-agent_x64.exe,RMM,
Zabbix Agent,zabbix.com,,RMM,
ZeroTier,zerotier.com,,RMM,
Zoho Assist,zoho.com/assist/,"za_connect.exe,zaservice.exe,zohotray.exe",RMM,
